job_id,domain,dataset,family,runner_status,runner_complete,status_payload,windows_requested,windows_run,series_requested,series_run,raw_exists_after_slug_rebind,history_exists_after_slug_rebind,original_paths_are_windows_absolute,exact_model,exact_q9,exact_family_contract,contract_ready,outcome_valid,balanced_analysis_ready,category,detail,local_raw_path,local_history_path
external_v1_moirai_restaurant_d_short,Sales,restaurant/D/short,moirai,ok,1,ok,16,16,16,16,1,1,1,1,1,1,1,1,1,balanced_analysis_ready,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_restaurant_d_short.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_restaurant_d_short_history_context.csv
external_v1_timesfm_restaurant_d_short,Sales,restaurant/D/short,timesfm,failed_artifact_contract,0,blocked_no_rows,16,0,16,0,0,0,0,1,0,1,0,0,0,timesfm_nonfinite,completed,,
external_v1_chronos_car_parts_m_short,Sales,car_parts/M/short,chronos,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,baseline_infeasible,completed,,
external_v1_moirai_car_parts_m_short,Sales,car_parts/M/short,moirai,failed_artifact_contract,0,blocked_runtime_error,16,0,16,0,0,0,0,1,0,0,0,0,0,baseline_infeasible,completed,,
external_v1_timesfm_car_parts_m_short,Sales,car_parts/M/short,timesfm,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,baseline_infeasible,completed,,
external_v1_chronos_m_dense_h_short,Transport,m_dense/H/short,chronos,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_moirai_m_dense_h_short,Transport,m_dense/H/short,moirai,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,0,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_timesfm_m_dense_h_short,Transport,m_dense/H/short,timesfm,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_chronos_sz_taxi_15t_short,Transport,sz_taxi/15T/short,chronos,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_moirai_sz_taxi_15t_short,Transport,sz_taxi/15T/short,moirai,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,0,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_timesfm_sz_taxi_15t_short,Transport,sz_taxi/15T/short,timesfm,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_chronos_bizitobs_l2c_5t_medium,Web/CloudOps,bizitobs_l2c/5T/medium,chronos,ok,1,ok,16,7,16,7,1,1,1,1,1,1,0,0,0,runner_complete_contract_mismatch,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_bizitobs_l2c_5t_medium.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_chronos_bizitobs_l2c_5t_medium_history_context.csv
external_v1_moirai_bizitobs_l2c_5t_medium,Web/CloudOps,bizitobs_l2c/5T/medium,moirai,ok,1,ok,16,7,16,7,1,1,1,1,1,1,0,0,0,runner_complete_contract_mismatch,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_bizitobs_l2c_5t_medium.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_moirai_bizitobs_l2c_5t_medium_history_context.csv
external_v1_timesfm_bizitobs_l2c_5t_medium,Web/CloudOps,bizitobs_l2c/5T/medium,timesfm,ok,1,ok,16,7,16,7,1,1,1,1,0,1,0,0,0,runner_complete_contract_mismatch,completed,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_timesfm_bizitobs_l2c_5t_medium.csv,build/tsfm-drcr-remote-q9/results/raw_forecasts/external_v1_timesfm_bizitobs_l2c_5t_medium_history_context.csv
external_v1_chronos_bitbrains_fast_storage_5t_short,Web/CloudOps,bitbrains_fast_storage/5T/short,chronos,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_moirai_bitbrains_fast_storage_5t_short,Web/CloudOps,bitbrains_fast_storage/5T/short,moirai,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,0,0,0,0,timeout,timeout_after_7200_seconds,,
external_v1_timesfm_bitbrains_fast_storage_5t_short,Web/CloudOps,bitbrains_fast_storage/5T/short,timesfm,failed_artifact_contract,0,missing,16,0,16,0,0,0,0,0,0,1,0,0,0,timeout,timeout_after_7200_seconds,,
